keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Louis Klamroth',de,Deutschland,#11dd44,#11dd44,2,0.192338651398
'Mike Pence',de,USA,#18e8e8,#18e8e8,2,0.191986847842
'Franziska Giffey',de,Deutschland,#11dd44,#11dd44,3,0.191623270771
'John Paul II',de,Vatikan,#58b8e8,#58b8e8,1,0.190977981613
'Roland Busch',de,Deutschland,#11dd44,#11dd44,1,0.190063660652
'Michael Sandel',de,USA,#18e8e8,#18e8e8,1,0.188841841894
'Richard Ferrand',de,Frankreich,#e8e808,#e8e808,1,0.188683143650
'Jens Stoltenberg',de,Norwegen,#e818e8,#e818e8,1,0.188632288693
'Robert Nozick',de,USA,#18e8e8,#18e8e8,1,0.188574757812
'Éric Ciotti',de,Frankreich,#e8e808,#e8e808,1,0.188544872669
'Lukaschenko',de,Belarus,#e81858,#e81858,3,0.188376387245
'Paul Kagame',de,Ruanda,#33ddaa,#33ddaa,1,0.187897815073
'Michael Kretschmer',de,Deutschland,#11dd44,#11dd44,3,0.187538004884
'Bruno Kahl',de,Deutschland,#11dd44,#11dd44,1,0.187458681009
'Fumio Kishida',de,Japan,#aa9933,#aa9933,3,0.187035135023
'Benjamin Netanyahu',de,Israel,#8822dd,#8822dd,2,0.185442199232
'Dalai Lama',de,Tibet,#ddaa33,#ddaa33,1,0.183742741883
'Napoleon Bonaparte',de,Frankreich,#e8e808,#e8e808,2,0.183532816274
'Steffi Lemke',de,Deutschland,#11dd44,#11dd44,3,0.182995565350
'Carola Rackete',de,Deutschland,#11dd44,#11dd44,2,0.181811642726
'Tamim bin Hamad Al Thani',de,Katar,#33aadd,#33aadd,1,0.181015591473
'Vitali Klitschko',de,Ukraine,#e818e8,#e818e8,3,0.179476953316
'Ed McVey',de,UK,#e838e8,#e838e8,1,0.177739427590
'Hans Joosten',de,unknown,#111111,#111111,1,0.176444911305
'Herschel Walker',de,USA,#18e8e8,#18e8e8,1,0.176317398555
'Wolodymyr Selenski',de,Ukraine,#e818e8,#e818e8,1,0.176280755108
'Jair Lapid',de,Israel,#8822dd,#8822dd,2,0.171775392327
'Boris Palmer',de,Deutschland,#11dd44,#11dd44,1,0.169720596200
'Justin Trudeau',de,Kanada,#ffaabb,#ffaabb,2,0.167305306037
'Kim Jong-un',de,NordKorea,#4811f1,#4811f1,3,0.166994682129
'Klaus-Michael Kühne',de,Deutschland,#11dd44,#11dd44,2,0.166959320396
'Katharina König-Press',de,Deutschland,#11dd44,#11dd44,1,0.166387043835
'Tamim Hamad Thani',de,Katar,#33aadd,#33aadd,1,0.166024191066
'Immanuel Kant',de,Deutschland,#11dd44,#11dd44,2,0.165889027054
'Antonio Guterres',de,UN,#e888e8,#e888e8,2,0.162032699536
'Bruno Retailleau',de,Frankreich,#e8e808,#e8e808,1,0.161214384255
'Christoph Heusgen',de,Deutschland,#11dd44,#11dd44,2,0.161200775547
'Daniel Freund',de,EU,#bbff33,#bbff33,2,0.161010698911
'Steve Milloy',de,USA,#18e8e8,#18e8e8,1,0.160288544141
'Detlef Garbe',de,Deutschland,#11dd44,#11dd44,1,0.160288544141
'Cyril Ramaphosa',de,Südafrika,#1144ee,#1144ee,2,0.159854590076
'Meg Bellamy',de,UK,#e838e8,#e838e8,1,0.159128394767
'Andreas Baum',de,Deutschland,#11dd44,#11dd44,1,0.158450287556
'Michael Walzer',de,USA,#18e8e8,#18e8e8,1,0.155713656138
'Andrea Lindholz',de,Deutschland,#11dd44,#11dd44,2,0.155234411900
'Anthony Albanese',de,Australien,#99aa33,#99aa33,2,0.154961120025
'Horst Seehofer',de,Deutschland,#11dd44,#11dd44,1,0.154154229566
'Erik Marquardt',de,EU,#bbff33,#bbff33,1,0.153794623858
'Macky Sall',de,Senegal,#aa33dd,#aa33dd,1,0.151788206312
'Martin Sonneborn',de,Deutschland,#11dd44,#11dd44,1,0.151785724284
'Mojib Latif',de,Deutschland,#11dd44,#11dd44,2,0.151168271046
'Volker Wissing',de,Deutschland,#11dd44,#11dd44,3,0.150531145402
'David Malpass',de,USA,#18e8e8,#18e8e8,1,0.149645727636
'Hans Joachim Schellnhuber',de,Deutschland,#11dd44,#11dd44,2,0.149505623769
'Richard Feynman',de,USA,#18e8e8,#18e8e8,1,0.148775318503
'Patriarch Kyrill',de,Ukraine,#e818e8,#e818e8,2,0.147265368122
'Alfred Bernhard Nobel',de,Schweden,#77dd11,#77dd11,1,0.147144883521
'Ebrahim Raisi',de,Iran,#11bb99,#11bb99,2,0.145990296084
'Yoon Suk-yeol',de,SüdKorea,#22bb66,#22bb66,3,0.145481018944
'Kardinal Woelki',de,Deutschland,#11dd44,#11dd44,2,0.145274899609
'Mary Lou McDonald',de,Irland,#33bbff,#33bbff,2,0.144444660028
'Sergey Brin',de,USA,#18e8e8,#18e8e8,1,0.141641091242
'Edmund Stoiber',de,Deutschland,#11dd44,#11dd44,1,0.140284921369
'Nicola Sturgeon',de,UK,#e838e8,#e838e8,1,0.138779541515
'Alexei Nawalny',de,Russland,#e81818,#e81818,1,0.137418783808
'Sucharit Bhakdi',de,Deutschland,#11dd44,#11dd44,1,0.136883302257
'Sundar Pichai',de,USA,#18e8e8,#18e8e8,2,0.135153729412
'John Kerry',de,USA,#18e8e8,#18e8e8,1,0.131866122561
'Christine Lagarde',de,EU,#bbff33,#bbff33,2,0.128987654928
'Werner von Braun',de,Deutschland,#11dd44,#11dd44,1,0.127755628705
'Gérard Biard',de,Frankreich,#e8e808,#e8e808,1,0.127389320456
'Lula sa Silva',de,Brasilien,#58e838,#58e838,2,0.126919902259
'Katalin Novak',de,Ungarn,#33aa99,#33aa99,2,0.126380109410
'Subrahmanyam Jaishankar',de,Indien,#dd3344,#dd3344,1,0.124582407941
'Tamim bin Hamad Al-Thani',de,Katar,#33aadd,#33aadd,1,0.123566027127
'Daniel Zhang',de,China,#e88818,#e88818,1,0.120954962142
'Karl Jenkins',de,UK,#e838e8,#e838e8,1,0.119771472957
'Heinrich XIII. Prinz Reuß',de,Deutschland,#11dd44,#11dd44,1,0.119000689893
'Steffen Große',de,Deutschland,#11dd44,#11dd44,3,0.117724968157
'John Roberts',de,USA,#18e8e8,#18e8e8,1,0.117536359399
'Nick Fuentes',de,USA,#18e8e8,#18e8e8,1,0.117502504003
'Holger Münch',de,Deutschland,#11dd44,#11dd44,2,0.116486442923
'Michelle Neill',de,Irland,#33bbff,#33bbff,1,0.115808473142
'Edir Macedo',de,Brasilien,#58e838,#58e848,1,0.115808473142
'Robin Li',de,China,#e88818,#e88818,2,0.114759712483
'Ayatollah Ali Chamenei',de,Iran,#11bb99,#11bb99,1,0.114072032931
'Alexej Kudrin',de,Russland,#e81818,#e81818,1,0.111888838708
'Miguel Díaz-Canel',de,Kuba,#cc4488,#cc4488,1,0.108373256647
'Larry Page',de,USA,#18e8e8,#18e8e8,1,0.106146893879
'Julia Koch',de,USA,#18e8e8,#18e8e8,2,0.105171666447
'Nicola Beer',de,EU,#bbff33,#bbff33,1,0.104797676214
'Ali Chamenei',de,Iran,#11bb99,#11bb99,2,0.101326752900
'Paul Gosar',de,USA,#18e8e8,#18e8e8,1,0.100405946214
'Jewgenij Roisman',de,Russland,#e81818,#e81818,1,0.099604967164
'Benjamin Nethanaju',de,Israel,#8822dd,#8822dd,1,0.098437202171
'Raphael Warnock',de,USA,#18e8e8,#18e8e8,1,0.098437202170
'Gautam Adani',de,Indien,#dd3344,#dd3344,1,0.098015236202
'Susanne Klatten',de,Deutschland,#11dd44,#11dd44,1,0.096496965025
'Andrés Manuel López Obrador',de,Mexiko,#aadd33,#aadd33,1,0.096044598777
'Bartholomäus',de,Türkei,#4411ee,#4411ee,1,0.093890554752
'Sergej Lavrov',de,Russland,#e81818,#e81818,1,0.092242756998
'Volodymyr Zelenskiy',de,Ukraine,#e818e8,#e818e8,1,0.078232966425
