keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Justus Haucap',de,Deutschland,#11dd44,#11dd44,2,0.403056609179
'Castel Gandolfo',de,Vatikan,#58b8e8,#58b8e8,1,0.402665476128
'Hillary Clinton',de,USA,#18e8e8,#18e8e8,3,0.402307670450
'Theodor Herzl',de,Ungarn,#33aa99,#33aa99,2,0.401834022598
'Sebastien Lecornu',de,Frankreich,#e8e808,#e8e808,2,0.401833591320
'Nina Gummich',de,Deutschland,#11dd44,#11dd44,1,0.401819027542
'Alois Rainer',de,Deutschland,#11dd44,#11dd44,2,0.401320947138
'Kim Kardashian',de,USA,#18e8e8,#18e8e8,3,0.400415903482
'Nicusor Dan',de,Rumänien,#3311aa,#3311aa,1,0.399968889251
'Laura Loomer',de,USA,#18e8e8,#18e8e8,1,0.397908720034
'Stefanie Hubig',de,Deutschland,#11dd44,#11dd44,3,0.397823669003
'Matty Healy',de,UK,#e838e8,#e838e8,2,0.397476084594
'Elon Musk',de,USA,#18e8e8,#18e8e8,3,0.397355029601
'Taylor Swift',de,USA,#18e8e8,#18e8e8,3,0.397183887760
