week,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2026-05,-0.03608699008817354,0.9207514746811274,-0.06256090955262897,0.9222479771485775,173.0
2026-06,0.05028927414957897,0.964803031964248,-0.002307543993244816,0.9068110548112117,180.0
2026-07,-0.11149866033992659,1.0516975771921577,-0.11000895305357357,0.8450989287399486,195.0
2026-08,0.04343348010139392,0.8094334926248686,0.009547774742718907,0.9783315142766467,192.0
2026-09,-0.10988931786840594,0.8948637091400383,-0.06373980587135085,0.9671961012746891,156.0
2026-10,0.052633121813848355,1.0558287677427305,0.22806979919928647,1.1629936102966874,120.0
2026-11,-0.2893608300910422,1.1518035627075576,0.2555896927004609,1.4190989315097262,60.0
2026-12,0.012399445964226074,1.0686416617032324,-0.17094041413335678,0.7559048072155834,61.0
2026-13,-0.28553638975974144,1.1389818039766646,-0.16832774066281808,0.6756796919644242,69.0
2026-14,-0.005356597491783643,0.8928035085363984,0.32157947640326884,1.5340444379254072,75.0
2026-15,0.4507481333381307,0.9132186930144237,0.17313329033682803,0.9053399384849495,86.0
2026-16,0.43965952782419176,0.9623208982770572,-0.20430799572789415,0.6174427954459667,39.0
2026-17,0.05416683124783593,1.1121085281146137,-0.27870646725175907,0.37607443361986326,37.0
