keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Abu Dhabi',-1.2840462344568608,1.6130637935787984,-0.34356531630562026,0.22326186416096533,2.0
'Adam Driver',-1.031546031399725,0.36416208190842914,0.10557488439725331,1.2690488527686403,3.0
'Alexander von Humboldt',1.1491268510006298,1.0,-0.47419255592800746,1.0,1.0
'Ali Chamenei',0.5548934538121424,0.41609122830092093,-0.4406128613192389,0.06387623000075059,4.0
'Ali Khamenei',0.057380537186310115,1.0608068164348354,-0.13264068659883857,0.7428666898074147,9.0
'Alice Weidel',-1.237488381209885,1.0,-0.5433145275425134,1.0,1.0
'Andrea Berg',1.2150725720809594,0.3014688158617293,-0.3580290555329399,0.06566725510540312,6.0
'Andy Burnham',0.05878483951562286,0.8867214653855968,0.009647479172636956,0.9386620411001436,79.0
'Axel Springer',0.7172128180392959,0.9063835598771646,-0.3555346467601794,0.07557844452038417,3.0
'Ayatollah Ali Chamenei',-0.8551309099585793,0.5654789892013068,0.40136298400654596,1.4524185272317536,2.0
'Ayatollah Chamenei',-0.34126983832296504,0.9042301322660751,0.27184786783358067,1.115667680800614,9.0
'Bad Bunny',-0.4139921677997938,0.918144985785845,0.28305544489610623,1.6191920531803634,17.0
'Barack Obama',-0.4997224116622517,1.0,-0.4894125613102094,1.0,1.0
'Barbara Schöneberger',0.606857316067908,1.0,-0.4428051173377333,1.0,1.0
'Bari Weiss',-0.45527688207582073,1.0,-0.3771060154812162,1.0,1.0
'Benjamin Netanjahu',1.1551658561304599,1.0,-0.39449757405134134,1.0,1.0
'Bill Cassidy',-1.6057589790605793,1.0,-0.3118994114714023,1.0,1.0
'Bill Pulte',-0.36231016556536744,0.07788334920342095,-0.423839303591369,0.07121025236406882,3.0
'Boris Palmer',-0.36998141650449534,1.0,-0.4428051173377333,1.0,1.0
'Brad Pitt',1.3492924855056272,1.0,-0.4260618512560238,1.0,1.0
'Brooklyn Beckham',-0.07450230251988132,1.1083784869769664,0.25090146965083815,1.3040156963534921,4.0
'Bärbel Bas',-0.4616100710627011,0.937884819373442,0.06227582374602277,1.2100068832947737,14.0
'Callum Turner',0.2864942858605987,0.14607094578984323,-0.43443348429687856,0.011839276985587507,2.0
'Carter Reum',0.30536388008877113,1.0,-0.4428051173377333,1.0,1.0
'Chappell Roan',1.2499953118952125,1.0,-0.4894125613102094,1.0,1.0
'Charles III',0.21892621473665103,0.38253707236799095,-0.3826745059973124,0.04710102344665851,4.0
'Charlie Kirk',-0.1970748772234204,0.1549665905719494,-0.1310686589179572,0.3196887150873827,3.0
'Christian Bale',0.3508141463529968,0.6073510539787372,-0.6237023292230415,0.1729116988295388,2.0
'Christopher Nolan',-0.17758063343792974,0.948644061770117,0.7890109627409604,1.597499652098553,12.0
'Conor McGregor',-0.9421070269112077,0.271873903896677,1.1495239529261392,2.3348089585422533,2.0
'Daniel Freund',-0.07629771076760981,0.44042525355125833,-0.6152713085533024,0.13618545263102286,4.0
'Daniel Siad',-0.8787146484565465,0.9259338474612194,-0.006971970533918384,0.634792120646829,10.0
'David Beckham',-0.10760487444130688,1.0,-0.31564102463054317,1.0,1.0
'Delcy Rodriguez',-0.2063872710806447,0.9678586294972445,-0.39900742696804176,0.0882366886842311,3.0
'Delcy Rodríguez',-0.5267788269485845,0.5585874675232254,-0.4300955433506582,0.0980505165008154,3.0
'Demi Moore',-0.746639987153619,1.4440997474552868,-0.48781392518109806,0.0192635251358126,2.0
'Donald Trump',-0.12184133040976955,1.0100783001801728,0.007485957937307883,0.82685724997906,88.0
'Dua Lipa',0.47147307417250983,0.5873267720661476,-0.30390166703270893,0.3421959172523688,7.0
'Elon Musk',-0.0934102783489386,0.6621580247823698,0.05590958302193463,0.7158078031203098,5.0
'Emmanuel Macron',-0.21564762596947187,1.0,-0.21320071635561041,1.0,1.0
'Epstein Files',-1.9049768242597167,1.0,0.048173385862789596,1.0,1.0
'Eric Dane',0.6008487496753901,1.0,-0.47419255592800746,1.0,1.0
'Frank-Walter Steinmeier',-0.037653383479163305,1.2433429371267835,-0.35319849276137183,0.05840572087382381,2.0
'Friedrich Merz',0.3247449646886481,0.7296216927004932,0.02628755003211973,0.9400016068250734,8.0
'Giorgia Meloni',1.8803642677577896,1.0,1.9850782183647284,1.0,1.0
'Graham Platner',0.5703927862954757,0.9178821445928296,0.20177990432046294,0.99449647134572,2.0
'HBO Max',1.6604445084583628,0.0,0.9866046427254087,0.0,3.0
'Heidi Klum',-0.11672693028202041,1.0,-0.4428051173377333,1.0,1.0
'Helene Fischer',0.7610351820093286,1.1337340936344116,-0.24964338236551187,0.5660269730486854,25.0
'Herbert Diess',-0.1828951247454578,1.049961451520014,-0.014495095183133114,0.6249281774895681,3.0
'Howard Stern',-2.9920161648302566,1.0,,1.0,1.0
'Ilia Topuria',1.4609506653185944,1.0,-0.5433145275425134,1.0,1.0
'Itamar Ben-Gvir',-0.21543637383837755,1.0,-0.6256520057200051,1.0,1.0
'JD Vance',0.03028938738103963,1.1756458797793532,-0.07972027967694378,0.9202890037954016,4.0
'Jack White',0.5120109486041087,1.724092827599444,-0.5014352944341887,1.0,2.0
'Jacob Elordi',0.6008487496753901,1.0,-0.47419255592800746,1.0,1.0
'Jair Bolsonaro',0.017735358968672815,0.30727473814030754,-0.3335018059420642,0.1316851881163969,3.0
'James Bond',-0.24635200125538212,0.6395950516472686,-0.5585412350284185,0.18300670877669367,9.0
'James Talarico',-0.7036757467960615,1.0,1.3677465504476487,1.0,1.0
'Jan Böhmermann',0.3658724205360017,1.0,1.4163689272808735,1.0,1.0
'Jared Kushner',0.18191855273893642,0.941404318791255,-0.3880484056201874,0.06218204585286528,7.0
'Javier Bardem',1.1538499097905066,1.2054649067589478,-0.4260618512560238,0.0,2.0
'Jean-Luc Mélenchon',-0.022526668873852355,1.0,-0.4894125613102094,1.0,1.0
'Jeffrey Epstein',-0.9764005583891844,1.0502829953944295,-0.3716963239251791,0.1620542158734335,11.0
'Jens Spahn',0.6162769799837764,0.8706960846667154,-0.31314661585778264,0.0021602213646333924,3.0
'Jessica Biel',-0.041214230542298454,1.0,-0.7459693640118944,1.0,1.0
'Joey Kelly',-0.7071067811865475,1.0,-0.7071067811865475,1.0,1.0
'Johann Wadephul',0.08683151157622487,0.8962399169182981,-0.43520796289895086,0.08955588403877933,4.0
'John Paul II',-0.4997224116622517,1.0,-0.4894125613102094,1.0,1.0
'Jordan Bardella',0.2107634829418158,0.5683045396487718,-0.36660478076559216,0.1499513901726679,8.0
'Josh Hokit',-1.0573864505369273,1.0,-0.4428051173377333,1.0,1.0
'Julia Koch',0.14787702920399554,0.04060052135484632,0.35338888634735927,1.057671175411051,2.0
'Justin Bieber',-0.18240568078923786,1.0,-0.47419255592800746,1.0,1.0
'Kaitlan Collins',-0.0017907764826305874,0.02932498024757489,-0.46610883932397135,0.03295643968670991,2.0
'Kamala Harris',0.14308607268725826,1.3404538279512874,0.5593622815266659,1.675863276630129,2.0
'Kanye West',-0.38639535316130824,2.107368867759488,-0.43746067284445966,0.09047377749988138,2.0
'Karoline Leavitt',0.7103440252948939,0.8506376768295412,-0.34313398111411963,0.030802802696812716,3.0
'Karsten Wildberger',1.5945326287848656,1.0,-0.3118994114714023,1.0,1.0
'Katy Perry',-1.454990356310009,1.8925902871166647,-0.4584988366328704,0.022194270671259182,2.0
'Keir Starmer',-0.028589232449672087,0.8082316354257221,-0.16933430101352323,0.696014143589318,40.0
'Ken Paxton',-0.022526668873852355,1.0,1.297618742756628,1.0,1.0
'Kerstin Ott',-0.01291133089127437,0.9141371927833412,-0.3889947671668808,0.0831580355412893,7.0
'King Charles III',0.7659145019302688,1.0,-0.5014352944341887,1.0,1.0
'König Charles III',0.19443299617060786,0.7169709809399261,-0.13671447696388797,0.6581124526045573,35.0
'Lady Di',-0.6995612834054462,1.0,-0.3734860512547306,1.0,1.0
'Larry Page',-0.14343788753079528,1.0,5.199469468957452,1.0,1.0
'Le Pen',0.11382204490120494,0.7465320426610916,0.2799076546897204,1.3643487598962933,27.0
'Leif-Erik Holm',0.4665602056446468,0.7618411552005788,-0.37158016318336734,0.07462240193294839,8.0
'Leonardo DiCaprio',-0.8627046562667556,1.0,1.564129311637843,1.0,1.0
'Le Pen',-0.10504296470057062,0.7465380262041573,-0.2704997293577881,0.8103357185728797,25.0
'Lindsey Graham',0.48009247151935586,2.084716380561996,-0.41589577452463083,0.0413430104353984,5.0
'Lionel Messi',0.24201382588256398,0.5548284539783471,-0.3734860512547306,0.0,2.0
'Lisa Müller',0.6074430151421741,1.0,-0.3771060154812162,1.0,1.0
'Liveblog Irankrieg',-0.23996499274736954,1.1647762796330232,0.0231762369777765,0.986137756366478,39.0
'Liveblog USA',-0.14853823406082786,1.1670280448598256,-0.11177841371786969,0.8933598360612796,56.0
'Liveblog Ukrainekrieg',-0.2598005774062801,0.9143244612045459,0.29703286321879535,1.7328174821730087,17.0
'Logan Paul',-0.11672693028202041,1.0,-0.4428051173377333,1.0,1.0
'Maite Kelly',0.3142416939354477,0.8547783995175048,0.38602185507603926,1.7472073999642,8.0
'Marco Rubio',1.5269055855468658,1.0,0.9049951030751145,1.0,1.0
'Maria Sacharowa',-0.14303365839009158,0.7520254149373843,-0.11541498914485626,0.7598332065190313,4.0
'Marine Le Pen',0.06162846238372472,0.6879045661210329,0.13845013682270824,1.0947580221241187,17.0
'Mario Adorf',0.3484343709429336,1.0,-0.4428051173377333,1.0,1.0
'Mark Rutte',0.24866784159629765,1.0,-0.39449757405134134,1.0,1.0
'Mark Zuckerberg',-0.645273924232863,0.9180929371610005,-0.07813761414612004,0.6944256594430143,5.0
'Markus Lanz',0.6793280018274476,0.8843066928787238,0.01359044669698483,0.9356712341366501,8.0
'María Corina Machado',-1.295048649642917,1.0,-0.4894125613102094,1.0,1.0
